War Howler,MM4,114,Humanoid,4,Medium
Blackspawn Raider,MM4,130,Monstrous Humanoid (Dragonblood),4,Medium
Bluespawn Ambusher,MM4,136,Magical Beast (Dragonblood),4,Medium
Whitespawn Hunter,MM4,158,"Monstrous Humanoid (Cold, Dragonblood)",4,
Web Mummy,MM4,165,Undead,4,Medium
Windscythe,MM4,177,Outsider (Extraplanar),4,Large
Voor,MM4,193,"Outsider (Evil, Extraplanar, Yugoloth)",4,Large
Zern Blade Thrall,MM4,198,Monstrous Humanoid,4,Large
Quorcraft Warforged,SX,84,Construct,4,Medium
Reth Dekala,ToB,154,"Outsider (Evil, Extraplanar, Lawful),Medium",4,
"Phynxkin, Dire",DM,117,Animal (Dragonblood),4,Large
"Abishai, White (Baatezu)",FCII,110,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",4,Medium
Spined Devil (Spinagon),FCII,136,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",4,Small
Ascomoid,Du,105,Plant,4,Medium
Footpad Lizard,DrU,133,Animal,4,Large
Subterranean Lizard,DrU,134,Magical Beast,4,Large
"Beholderkin, Eyeball Swarm",EU,220,Aberration (Swarm),4,Diminutive
Carnage Demon,MM5,22,"Outsider (Chaotic, Evil, Extraplanar)",4,Medium
Force Golem,MM5,68,Construct,4,Large
Magmacore Golem,MM5,70,Construct,4,Medium
Graveyard Sludge,MM5,72,Ooze,4,Large
Taunting Haunt,MM5,82,Undead (Incorporeal),4,Medium
Hobgoblin Warcaster,MM5,86,Monstrous Humanoid (Goblinoid),4,Medium
Kuo-Toa Harpooner,MM5,96,Monstrous Humanoid (Aquatic),4,Medium
Rylkspawn Swarm,MM5,138,Magical Beast (Swarm),4,Tiny
Serpentir,MM5,158,Undead,4,Large
Tirbana Slayer,MM5,173,Magical Beast,4,Medium
Arkamoi,MM5,184,Monstrous Humanoid,4,Medium
Vivisector,MM5,200,Aberration,4,Medium
Veserab,An,156,Magical Beast (Extraplanar),4,Large
Aballin,Mon,11,Ooze,4,Large
Abyssal Eviscerator,MH,45,Outsider,4,Medium
Alaghi,Mon,14,Monstrous Humanoid,4,Medium
Aranea,MM,15,Magical Beast (Shapechanger),4,Medium
"Archon, Hound",MM,16,"Outsider (Archon, Extraplanar, Good, Lawful)",4,Medium
Asperi,MM2,25,Magical Beast (Cold),4,Large
Barghest,MM,22,"Outsider (Evil, Extraplanar, Lawful, Shapechanger)",4,Medium
"Barracuda, Dire",Sto,147,Animal (Aquatic),4,Large
"Bear, Brown",MM,269,Animal,4,Large
"Bear, Polar",MM,269,Animal,4,Large
"Beetle, Giant Stag",MM,285,Vermin,4,Large
"Beholderkin, Spectator",LoM,140,Aberration (Extraplanar),4,Medium
Blackskate,Sto,139,Undead,4,Large
"Boar, Dire",MM,63,Animal,4,Large
"Bonedrinker, Lesser",MM3,19,Undead ,4,Small
Brain in a Jar,LM,90,Undead,4,Tiny
Carrion Crawler,MM,30,Aberration,4,Large
"Cat, Sea",MM,220,Magical Beast,4,Large
Chekryan,Sa,142,Magical Beast,4,Large
Choldrith,Mon,27,Aberration,4,Large
"Crocodile, Giant",MM,271,Animal,4,Huge
Dark Stalker,FF,38,Humanoid,4,Medium
Darkenbeast,Mon,30,Magical Beast,4,Medium
Deep Hound,RS,185,Magical Beast,4,Large
Displacer Beast,MM,66,Magical Beast,4,Large
Dolghast,MoE,143,Aberration,4,Medium
"Draconian, Bozak",DCS,218,Dragon,4,Medium
"Draconian, Kapak",DCS,219,Dragon,4,Medium
Dragonnel,Dr,150,Dragon,4,Large
"Drake, Stone",RS,189,Dragon (Earth),4,Medium
"Elemental, Medium Shadow",TM,165,"Elemental (Extraplanar, Incorporeal)",4,Medium
"Energon, Xag-Ya",MP,169,Outsider (Incorporeal),4,Medium
"Felldrake, Spiked",Dr,160,Dragon,4,Large
Flameskull,LE,171,Undead,4,Tiny
Forlorn Husk,Sa,163,Undead,4,Medium
Gargoyle,MM,113,Monstrous Humanoid (Earth),4,Medium
Gauntlet Guardian,CW,120,Construct,4,Small
"Giant, Least Dusk",HH,147,Giant,4,Medium
Gray Jester,HH,151,Fey,4,Medium
Green Warder,Mon,57,Plant,4,Medium
Griffon,MM,139,Magical Beast,4,Large
"Hag, Dune",Sa,158,Monstrous Humanoid,4,Large
"Hag, Dusk",ECS,284,Monstrous Humanoid,4,Medium
"Hag, Sea",MM,144,Monstrous Humanoid (Aquatic),4,Medium
Half-Fey Centaur,FF,89,Fey,4,Large
Half-Fiend (Durzagon),MM2,124,"Outsider (Evil, Extraplanar, Lawful)",4,Medium
"Half-Golem, Clay",MM2,211,Construct,4,Medium
"Half-Golem, Flesh",MM2,211,Construct,4,Medium
"Half-Golem, Iron",MM2,211,Construct,4,Medium
"Half-Golem, Stone",MM2,211,Construct,4,Medium
Half-Illithid Lizardfolk,FF,90,Aberration (Reptillian),4,Medium
Hammerclaw,Sto,152,Magical Beast (Aquatic),4,Large
Hannya,OA,166,Monstrous Humanoid,4,Medium
Harpy,MM,150,Monstrous Humanoid,4,Medium
Horned Beast,TM,82,Magical Beast,4,Medium
"Clockwork Horror, Electrum",MM2,47,Construct,4,Small
"Horse, Dire",MM2,75,Animal,4,Large
Ixzan,LE,177,Aberration (Aquatic),4,Medium
Janni,MM,116,Outsider (Native),4,Medium
"Kruthik, Adult",MH,63,Magical Beast,4,Medium
Leucrotta,CSW,136,Magical Beast,4,Large
Leucrotta,Mon,63,Magical Beast,4,Large
Lhosk,MM3,90,Monstrous Humanoid,4,Large
"Lizard, Woodling Monitor",MM3,197,Animal,4,Medium
"Lizardfolk, Poison Dusk Lieutenant",MM3,97,Humanoid (Reptilian),4,Small
Luna Moth,HB,154,Magical Beast,4,Large
"Lycanthrope, Drow Werebat",LE,178,Humanoid,4,
"Lycanthrope, Werecat",LE,179,Humanoid,4,
"Lycanthrope, Wereshark",LE,182,Humanoid,4,
Malaugrym,Mon,64,Shapechanger,4,Medium
Mamono,OA,172,Shapechanger (Shadowlands),4,Medium
Marrulurk,Sa,170,Monstrous Humanoid,4,Small
Meazel,Mon,65,Monstrous Humanoid,4,Medium
Megaloceros,Fr,117,Animal,4,Large
Mimic,MM,186,Aberration,4,Large
Mindshredder Warrior,MM3,103,Aberration,4,Large
Minotaur,MM,188,Monstrous Humanoid,4,Large
"Myconid, Guard",MM2,156,Plant,4,Medium
Myrlochar,Mon,66,"Outsider (Chaotic, Evil)",4,Medium
"Nat, Lu",OA,176,Fey (Spirit),4,Medium
"Neogi, Adult",MM2,159,Aberration,4,Small
Nereid,Sto,155,"Fey (Aquatic, Extraplanar)",4,Medium
"Nightmare, Lesser",PlH,127,"Outsider (Evil, Extraplanar)",4,Large
"Ooze, Gray",MM,202,Ooze,4,Medium
"Ooze, Summoning",MM3,169,Ooze,4,Medium
Otyugh,MM,204,Aberration,4,Large
Owlbear,MM,206,Magical Beast,4,Large
Painspeaker,TM,269,Undead,4,Medium
Pixie,MM,236,Fey,4,Small
"Puma, Dire",Sa,150,Animal,4,Large
Ramadeen,MH,67,"Outsider (Extraplanar, Good, Lawful)",4,Large
Rhek,BE,181,Monstrous Humanoid (Extraplanar),4,Medium
Rhinoceros,MM,278,Animal,4,Large
"Shark, Huge",MM,279,Animal (Aquatic),4,Huge
Shikki-Gaki,OA,164,Undead (Spirit),4,Medium
Shinen-Gaki,OA,164,"Undead (Fire, Spirit)",4,Medium
Skeletal Warbeast,HB,156,Undead,4,Large
"Skeleton, Chimera",MM,227,Undead,4,Large
Skulking Cyst,LM,120,Undead,4,Small
Skulvyn,FF,54,"Outsider (Aquatic, Chaotic, Evil, Extraplanar)",4,Large
Snowcloak,Fr,153,Aberration (Cold),4,Large
Snowcloak,SM,123,Aberration (Cold),4,Large
Spectral Lyrist,LM,123,Undead (Incorporeal),4,Medium
Spectral Panther,Mon,79,Magical Beast (Incorporeal),4,Large
Spellstiched Ghast,MM2,217,Undead,4,Medium
"Spider, Harpoon",MM3,80,Aberration,4,Large
"Spinagon, Devil (Baatezu)",MP,167,"Outsider (Evil, Lawful)",4,Small
Steeder,Rac,177,Magical Beast,4,Large
Stinger,Mon,80,Monstrous Humanoid,4,Large
"Swarm, Air Elementite",PlH,114,"Elemental (Air, Extraplanar, Swarm)",4,Tiny
"Swarm, Apocalypse Frog",BE,188,Magical Beast (Swarm),4,Diminutive
"Swarm, Centipede",MM,238,Vermin (Swarm),4,Diminutive
"Swarm, Corpse Rat",LM,92,Undead (Swarm),4,Tiny
"Swarm, Earth Elementite",PlH,115,"Elemental (Earth, Extraplanar, Swarm)",4,Tiny
"Swarm, Fire Elementite",PlH,116,"Elemental (Extraplanar, Fire, Swarm)",4,Tiny
"Swarm, Piranha",Sto,162,"Animal (Aquatic, Swarm)",4,Tiny
"Swarm, Water Elementite",PlH,116,"Elemental (Extraplanar, Swarm, Water)",4,Tiny
Terror Bird,FF,175,Animal,4,Large
Thorn,MM3,172,Fey,4,Small
Tiger,MM,281,Animal,4,Large
"Tiger, Red",SM,119,Animal,4,Large
"Troll, Forest",MM3,179,Giant,4,Medium
"Troll, Ice",Una,78,Giant (Cold),4,Large
Urdark,MoE,148,Undead (Incorporeal),4,Small
Vaath,BV,182,Outsider,4,Large
Vampire Spawn,MM,253,Undead,4,Medium
Vine Horror,FF,185,Plant (Aquatic),4,Medium
Vorr,FF,186,"Outsider (Chaotic, Evil, Extraplanar)",4,Medium
Walking Wall,MH,72,"Elemental (Earth, Extraplanar)",4,Medium
Wang-Liang,OA,198,Giant (Spirit),4,Large
Werebat,Mon,92,Shapechanger,4,Huge
Wereboar (Lycanthrope),MM,171,"Humanoid (Human, Shapechanger)",4,Medium
Wereshark,Mon,92,Shapechanger,4,Large
Witchknife,MM3,194,Monstrous Humanoid,4,Medium
"Wolverine, Dire",MM,65,Animal,4,Large
Wood Woad,MM3,196,Plant,4,Medium
Xag-Ya,DD,210,Outsider,4,Medium
Yak Folk,MM2,200,Monstrous Humanoid,4,Large
Yellow Musk Creeper,FF,190,Plant,4,Huge
Yuki-On-Na,Fr,164,Fey (Cold),4,Medium
Yuki-On-Na,OA,200,"Fey (Cold, Spirit)",4,Medium
"Zombie, Minotaur",MM,267,Undead,4,Large
"Zombie, Wyvern",MM,267,Undead,4,Large
"Spider, Devastation",EL,178,Vermin,41,Colossal
"Scorpion, Devastation",EL,178,Vermin,42,Colossal
"Soulmarauder, Spiritovore Energon",BB,42,Outsider (Incorporeal),42,Huge
"Soulscaper, Spiritovore Energon",BB,42,Outsider (Incorporeal),42,Large
"Soulsipper, Spiritovore Energon",BB,42,Outsider (Incorporeal),42,Large
Ectoplasmic Swarm,CP,129,"Magical Beast (Psionic, Swarm)",5,Diminutive
Shadow Fet,CP,134,"Outsider (Evil, Extraplanar, Psionic)",5,Large
Bar-Lgura,FCI,29,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",5,Medium
Nabassu,FCI,48,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",5,Medium
Lolth's Sting,MM4,55,Humanoid (Elf),5,Medium
Howler Wasp Queen,MM4,74,Aberration,5,Large
Joystealer,MM4,78,Fey (Incorporeal),5,Medium
Ogre Scout,MM4,109,Giant,5,Large
Varag Pack Leader,MM4,168,Humanoid (Goblinoid),5,Medium
Corruptor of Fate,MM4,190,"Outsider (Evil, Extraplanar, Yugoloth)",5,Medium
Blazewyrm,DM,111,Elemental (Fire),5,Large
Pest Swarm,Ci,136,Animal,5,Tiny
"Abishai, Black (Baatezu)",FCII,109,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",5,Medium
Narzugon,FCII,125,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",5,Medium
"Demon, Cambion",EDP,195,"Outsider (Chaotic, Evil, Extraplanar)",5,Medium
Draegloth,DrU,110,Outsider (Native),5,Large
Spitting Spider,DrU,141,Vermin,5,Large
Arcane Ballista,FW,149,Construct,5,Large
Karrnathi Dread Marshal,FW,150,Undead,5,Medium
Demonthorn Mandrake,MM5,30,Plant (Extraplanar),5,Large
Greenspawn Zealot,MM5,74,Monstrous Humanoid,5,Medium
Hobgoblin Spellscourge,MM5,85,Monstrous Humanoid (Goblinoid),5,Medium
Thoon Infiltrator,MM5,109,Monstrous Humanoid,5,Medium
Stormcloud of Thoon,MM5,118,Construct,5,Medium
Sanguineous Drinker,MM5,142,Undead,5,Medium
Shardsoul Slayer,MM5,150,Construct,5,Medium
Tirbana Spawner,MM5,174,Magical Beast,5,Medium
Hadrimoi,MM5,185,Monstrous Humanoid,5,Medium
Verdant Reaver,MM5,196,Plant,5,Large
"Abishai, Black (Baatezu)",Mon,12,"Outsider (Evil, Lawful)",5,Medium
"Abishai, White (Baatezu)",Mon,12,"Outsider (Evil, Lawful)",5,Medium
Abyssal Ravager,MM2,57,"Outsider (Chaotic, Extraplanar, Evil)",5,Large
Achaierai,MM,9,"Outsider (Evil, Extraplanar, Lawful)",5,Large
Ambush Drake,MM3,8,Dragon,5,Medium
Amphisbaena,SK,62,Magical Beast,5,Large
"Animated Object, Huge",MM,14,Construct,5,Huge
Animated Rug of Welcome,CAr,150,Construct,5,Large
"Ant Lion, Giant",Sa,196,Vermin,5,Large
"Arrowhawk, Adult",MM,19,"Outsider (Air, Extraplanar)",5,Medium
Avalancher,MM3,13,Magical Beast (Earth),5,Large
Banelar,Mon,18,Magical Beast,5,Huge
"Barghest, Greater",MM,23,"Outsider (Evil, Extraplanar, Lawful, Shapechanger)",5,Large
"Barghest, Greater",MM,23,"Outsider (Evil, Extraplanar, Lawful, Shapechanger)",5,Large
Bar-lgura (Tanar'ri),BV,171,"Outsider (Chaotic, Evil, Tanar'ri)",5,Medium
Basilisk,MM,23,Magical Beast,5,Medium
"Bat, War",MM2,66,Animal,5,Huge
Bearded Devil (Barbazu),MM,52,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",5,Medium
"Beetle, Knell Lesser",MM3,89,Vermin,5,Medium
Bisan,OA,147,Fey (Spirit),5,Medium
Boneclaw,MM3,17,Undead,5,Large
Cloaker,MM,36,Aberration,5,Large
"Constrictor Snake, Giant",MM,280,Animal,5,Huge
"Demon, Yochlol",Mon,34,"Outsider (Chaotic, Evil)",5,Medium
"Dinosaur, Cave Triceratops",MH,58,Animal,5,Large
"Dinosaur, Cave Tyrannosaurus",MH,58,Animal,5,Large
"Dinosaur, Diprotodon",Sa,148,Animal,5,Large
Djinni,MM,114,"Outsider (Air, Extraplanar)",5,Large
"Draegloth, Half-Fiend",Mon,59,"Outsider (Chaotic, Evil)",5,Large
"Dragon, Zombie Young Adult Whitye",Dr,198,Undead,5,Large
"Dwarf, Midgard",Fr,124,Outsider (Native),5,Small
Earth Whisper,RS,187,"Elemental (Earth, Extraplanar, Incorporeal)",5,Medium
"Energon, Xac-Yel",PlH,119,"Outsider (Extraplanar, Fire, Incorporeal)",5,Medium
"Energon, Xac-Yij",PlH,120,"Outsider (Extraplanar, Incorporeal)",5,Medium
"Energon, Xap-Yaup",PlH,121,"Otusider (Extraplanar, Incorporeal)",5,Medium
"Energon, Xeg-Yi",MP,169,Outsider (Incorporeal),5,Medium
"Energon, Xong-Yong",PlH,121,"Outsider (Extraplanar, Incorporeal)",5,Medium
"Energon, Xor-Yost",PlH,122,"Outsider (Cold, Extraplanar, Incorporeal)",5,Medium
Entomber,LM,97,Undead,5,Medium
Fensir,FF,68,Giant (Extraplanar),5,Large
Feral Yowler,MM3,51,Magical Beast,5,Medium
Fossergrim,FF,79,Fey (Aquatic),5,Medium
Foulwing,LE,172,Aberration,5,Huge
Gambol,MM2,108,Magical Beast,5,Large
Ghaunadan,Mon,49,Shapechanger,5,Medium
Gibbering Mouther,LoM,150,Aberration,5,Medium
Gibbering Mouther,MM,126,Aberration,5,Medium
Glyptodon,Fr,116,Animal,5,Large
"Golem, Chain",MM2,44,Construct,5,Medium
"Golem, Equine",AE,87,Construct,5,Large
"Golem, Stained Glass",MM2,116,Construct,5,Medium
"Hag, Green",MM,143,Monstrous Humanoid,5,Medium
Haraknin,FF,26,"Outsider (Evil, Extraplanar, Fire, Lawful, Shapechanger)",5,Medium
Harssaf,MM3,82,Monstrous Humanoid (Fire),5,Medium
Hieracosphinx,MM,234,Magical Beast,5,Large
Hopping Vampire,OA,169,Undead,5,Medium
"Clockwork Horror, Gold",MM2,47,Construct,5,Small
Ibrandlin,Mon,62,Dragon (Fire),5,Gargantuan
"Ice Paraelemental, Large",MP,181,"Elemental (Air, Cold)",5,Large
"Illithidae, Kigrid",LoM,155,Aberration,5,Medium
Ineffable Horror,Und,91,Aberration,5,Large
Inspired,ECS,290,"Humanoid (Human, Psionic)",5,Medium
Jovoc (Tanar'ri),MM2,58,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",5,Small
"Kython, Adult",BV,179,Aberration,5,Medium
"Leucrotta, Changesteed",CSW,137,Magical Beast (Shapechanger),5,Large
"Lion, Dire",MM,63,Animal,5,Large
"Guardinal, Lupinal",MM2,43,Outsider (Extraplanar, Good, Guardinal),5,Medium
"Magma Paraelemental, Large",MP,183,"Elemental (Earth, Fire)",5,Large
Manticore,MM,179,Magical Beast,5,Large
Marrash,MM2,145,"Outsider (Evil, Extraplanar, Lawful)",5,Medium
Marrusault,Sa,171,Monstrous Humanoid,5,Large
Marrutact,Sa,171,Monstrous Humanoid,5,Medium
Mercane,EL,204,Outsider (Lawful),5,Large
Mercane,MP,179,Outsider (Lawful),5,Large
Metalmaster,LE,184,Magical Beast,5,Large
Morkoth,MM2,152,Aberration (Aquatic),5,Medium
Mummy,MM,190,Undead,5,Medium
"Nature Spirit, Large",OA,177,Fey (Spirit),5,Large
Nightmare,MM,194,"Outsider (Evil, Extaraplanar)",5,Large
Nyth,Mon,68,Aberration,5,Small
Ochre Jelly,MM,202,Ooze,5,Large
"Ogre, Skullcrusher",MM3,116,Giant,5,Large
"Ooze Paraelemental, Large",MP,183,"Elemental (Earth, Water)",5,Large
"Ooze, Dissolution",MoI,172,Ooze,5,Large
"Ooze, Lava",Sa,178,Ooze (Fire),5,Large
"Ooze, Snowflake",MM3,161,Ooze (Cold),5,Medium
Orca,MM,283,Animal,5,Huge
Peryton,Mon,69,Magical Beast,5,Medium
Phaerimm,Mon,70,Aberration,5,Large
Phargion,MH,66,Magical Beast,5,Medium
Portal Drake,Und,98,Dragon,5,Small
"Psurlon, Average",LoM,163,Aberration,5,Medium
Quaraphon,MM3,128,Aberration,5,Large
"Raggamoffyn, Guttersnipe",MM2,175,Construct,5,Medium
Rainbow Crow,HB,155,Magical Beast,5,Huge
Rast,MM,231,"Outsider (Extraplanar, Fire)",5,Medium
Ravid,MM,213,Outsider (Extraplanar),5,Medium
Reason Stealer,MM2,178,Ooze,5,Medium
Rejkar,MM3,140,Outsider (Cold),5,Large
"Rhinoceros, Warbeast",MM2,219,Animal,5,Large
Scaled Stalker,MH,68,Monstrous Humanoid,5,Large
Shadow Mastiff,MM,222,Outsider (Extraplanar),5,Medium
Sirine,MM2,185,Fey (Aquatic),5,Medium
"Skeleton, Ettin",MM,227,Undead,5,Large
Smilodon (Saber-Toothed Tiger),Fr,118,Animal,5,Large
"Smoke Paraelemental, Large",MP,184,"Elemental (Air, Fire)",5,Large
"Snake, Dire",MM2,76,Animal,5,Huge
Spawn of Kyuss,MM2,186,Undead,5,Medium
"Sphinx, Canisphinx",Sa,186,Magical Beast,5,Large
"Sphinx, Saurosphinx",Sa,188,Magical Beast,5,Large
Spider Eater,MM,234,Magical Beast,5,Large
"Spider, Phase",MM,207,Magical Beast,5,Large
"Spider, Sword",Mon,79,Vermin,5,Large
Starsnake,ShS,69,Magical Beast,5,Medium
"Swarm, Cranium Rat Average Pack",FF,168,"Magical Beast (Extraplanar, Swarm of Diminutive ,Medium""Creatures)""",5,
"Swarm, Ephemeral",MM3,50,"Undead (Incorporeal, Swarm)",5,Tiny
"Swarm, Hoard Scarab",Dr,168,Vermin (Swarm),5,Fine
"Swarm, Jellyfish",Sto,161,"Vermin (Aquatic, Swarm)",5,Diminutive
"Swarm, Plague Ant",FF,167,Vermin (Swarm of Fine Creatures),5,Medium
"Swarm, Scorpion",Sa,185,Vermin (Swarm),5,Diminutive
"Swarm, Swamp Strider",MM3,171,Vermin (Swarm),5,Diminutive
Sylph,MM2,192,"Outsider (Air, Extraplanar)",5,Small
"Taint Elemental, Medium",HH,145,Elemental (Evil),5,Medium
Tall Mouther,Mon,81,Aberration,5,Large
Tall Mouther,ShS,70,Aberration,5,Large
Tauric Hobgoblin-Griffon,MM2,217,Monstrous Humanoid,5,Large
"Tojanida, Adult",MM,244,"Outsider (Extraplanar, Water)",5,Medium
Troll,MM,247,Giant,5,Large
Udoroot,XPH,214,Plant (Psionic),5,Huge
Unbodied,XPH,215,"Monstrous Humanoid (Incoporeal, Psionic)",5,Medium
Urskan,Fr,159,Magical Beast (Cold),5,Large
"Velvet Worm, Giant",LE,191,Vermin,5,Huge
Visilight,MM3,186,Outsider (Lawful),5,Medium
Warforged Charger,MM3,191,Construct (Living Construct),5,Large
Werebear (Lycanthrope),MM,170,"Humanoid (Human, Shapechanger)",5,
Weretiger (Lycanthrope),MM,172,"Humanoid (Human, Shapechanger)",5,
Winter Wolf,MM,256,Magical Beast (Cold),5,Large
Wraith,MM,257,Undead (Incorporeal),5,Medium
"Wraith Spider, Huge",CSQ,124,Undead,5,Huge
"Wraith, Incarnum",MoI,180,"Undead (Incarnum, Incorporeal)",5,Medium
"Wraith, Sea",CSW,142,Undead (Incorporeal),5,Medium
Wyste,MM2,200,Aberration,5,Huge
Wyste,SD,31,Aberration,5,Huge
Yuan-ti Halfblood,MM,264,Monstrous Humanoid,5,Medium
"Yuan-ti, Halfblood",MM,264,Monstrous Humanoid,5,Medium
"Yugoloth, Canoloth",MM3,200,"Outsider (Evil, Extraplanar, Yugoloth)",5,Medium
"Zombie, Umber Hulk",MM,267,Undead,5,Large
"Beetle, Devastation",EL,178,Vermin,50,Colossal
"Abomination, Hecatoncheires",EL,162,"Outsider (Chaotic, Evil)",57,Huge
Broodswarm,FCI,31,"Outsider (Chaotic, Evil, Extraplanar, Swarm)",6,Tiny
Bloodhulk Giant,MM4,20,Undead,6,Large
Briarvex,MM4,26,Plant,6,Large
Defacer,MM4,38,Undead,6,Medium
Demonhive Queen,MM4,50,"Outsider (Evil, Extraplanar)",6,Large
Dwarf Ancestor,MM4,52,Outsider (Native),6,Large
Half-Fiend Gnoll Warlock,MM4,68,"Outsider (Augmented humanoid, native)",6,Medium
Fang Golem,MM4,72,Construct,6,Large
Justice Archon,MM4,80,"Outsider (Archon, Extraplanar, Good, Lawful)",6,Medium
Dark Talon Shaman,MM4,84,Humanoid (Reptilian),6,Medium
Mageripper Swarm,MM4,98,Aberration (Swarm),6,Tiny
Ogre Guard Thrall,MM4,110,Giant,6,Large
Quanlos,MM4,122,Magical Beast,6,Small
Bluespawn Stormlizard,MM4,142,Magical Beast (Dragonblood),6,Large
Redspawn Arcaniss,MM4,152,"Monstrous Humanoid (Dragonblood, Fire)",6,Medium
Redspawn Firebelcher,MM4,154,"Magical Beast (Dragonblood, Fire)",6,Large
Whitespawn Berserker,MM4,158,"Monstrous Humanoid (Cold, Dragonblood)",6,
Whitespawn Iceskidder,MM4,162,"Magical Beast (Cold, Dragonblood)",6,Large
Tomb Spider,MM4,164,Magical Beast,6,Large
Halfblood Deceiver,MM4,185,Monstrous Humanoid,6,Medium
Zern,MM4,195,Monstrous Humanoid,6,
Dream Serpent,SX,76,Magical Beast,6,Large
Warforged Scorpion,SX,85,Construct,6,Large
Ripper,Ci,131,Aberration,6,Medium
"Abishai, Green (Baatezu)",FCII,109,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",6,Medium
Steel Devil (Bueroza),FCII,137,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",6,Medium
Rot Grub Swarm,Du,106,Vermin (Swarm),6,Diminutive
Arcadian Avenger,MM5,8,"Outsider (Extraplanar, Good, Lawful)",6,Medium
Gulthir,MM5,32,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",6,Large
Kuo-Toa Monitor,MM5,97,Monstrous Humanoid (Aquatic),6,Medium
Scyther of Thoon,MM5,116,Construct,6,Medium
Rylkar Tormentor,MM5,138,Magical Beast,6,Medium
Spectral Rider,MM5,160,Undead,6,Medium
Lesser Spawn of Juiblex,MM5,162,"Elemental (Extraplanar, Water)",6,Large
"Abeil, Soldier",MM2,22,Monstrous Humanoid,6,Large
"Abishai, Green (Baatezu)",Mon,12,"Outsider (Evil, Lawful)",6,Medium
Ahuitzol,FF,14,Aberration (Aquatic),6,Large
Artaaglith,Gh,157,"Outsider (Chaotic, Evil)",6,Medium
Babau (Demon),MM,40,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",6,Medium
Baleen Whale,MM,282,Animal,6,Gargantuan
Battle Effigy,CV,153,Construct,6,Medium
"Behir, Halruaan",ShS,61,Magical Beast,6,Medium
"Beholder, Gauth",MM,26,Aberration,6,Medium
"Beholderkin, Spectator (Faerun)",Mag,182,Aberration,6,Medium
Belker,MM,27,"Elemental (Air, Extraplanar)",6,Large
Blade Guardian,CW,120,Construct,6,Medium
Blood Ape,MM2,32,Magical Beast,6,Large
Bloodmote Cloud,LM,88,Undead (Swarm),6,Fine
Bog Imp,HH,142,Fey (Aquatic),6,Small
Bonedrinker,MM3,18,Undead,6,Medium
Boneleaf,HH,143,Aberration,6,Large
"Eladrin, Bralani",MM,93,"Outsider (Chaotic, Eladrin, Extraplanar, Good)",6,Medium
"Canoloth, Yugoloth",MP,185,Outsider (Evil),6,Medium
Caryatid Column,FF,30,Construct,6,Medium
Catoblepas,MM2,41,Aberration,6,Huge
Chain Devil (Kyton),MM,53,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",6,Medium
Chelicera,MM3,27,Vermin,6,Medium
Chraal,MM3,28,Elemental (Cold),6,Large
Cinderspawn,LM,91,Undead (Fire),6,Large
Desert Devil (Araton),Sa,147,Outsider,6,Medium
Digester,MM,59,Magical Beast,6,Medium
"Dinosaur, Bloodstriker",MM3,39,Animal,6,Huge
"Dinosaur, Cave Ankylosaurus",MH,57,Animal,6,Large
"Dinosaur, Ichthyosaur",Sto,145,Animal,6,Large
"Dinosaur, Megaraptor",MM,60,Animal,6,Huge
Doc Cu'o'c,OA,151,Outsider (Spirit),6,Medium
"Draconian, Sivak",DCS,221,Dragon,6,Large
"Dragon, Faerie",Dr,158,Dragon,6,Small
"Drake, Air",Dr,152,Dragon (Air),6,Large
"Eagle, Legendary",MM2,137,Animal,6,Small
Ettin,MM,106,Giant,6,Large
Feral Spirit,Sh,178,Undead (Swarm),6,Tiny
Fetch,DCS,223,"Outsider (Chaotic, Evil, Extraplanar)",6,Medium
"Formian, Winged Warrior",FF,78,"Outsider (Extraplanar, Lawful)",6,Medium
Forsaken Shell,LM,100,Undead,6,Medium
"Genie, Khayal",TM,162,Outsider (Extraplanar),6,Medium
"Genie, Qorrashi",Fr,131,"Outsider (Cold, Extraplanar, Lawful)",6,Large
"Giant, Bog",FF,81,Giant (Aquatic),6,Large
Girallon,MM,126,Magical Beast,6,Large
Glaistig,MM3,60,Fey,6,Medium
Glitterfire,MM3,92,Ooze,6,Medium
"Guardinal, Equinal",BE,173,"Outsider (Extraplanar, Good, Guardinal)",6,Large
"Hag, Annis",MM,143,Monstrous Humanoid,6,Large
Hippopotamus,Sa,193,Animal,6,Large
Hook Horror,MM2,126,Aberration,6,Large
Icegaunt,Fr,141,Undead (Cold),6,Medium
Ironthorn,Sa,166,Plant,6,Large
Jiki-Ketsu-Gaki,OA,164,Undead (Spirit),6,Medium
Kocrachon (Baatezu),BV,175,"Outsider (Baatezu, Evil, Lawful)",6,Medium
Kopru,MM2,134,Monstrous Humanoid (Aquatic),6,Medium
